Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Fonds de Reserve pour les Retraites,France,Europe,36,2017,GPF,1,2001,48.859088,2.328057,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail
FUNCEF,Brazil,Latin America,34,2016,GPF,3,1977,-22.907716,-43.177281,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Future Fund,Australia,Oceania,108,2018,SWF,2,2006,-37.814344,144.969847,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
General Organization for Social Insurance,Saudi Arabia,MENA,448,2014,GPF,4,1969,21.582225,39.16404,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Fail,Fail
Georgia Employees Retirement System (ERSGA),USA,North America,15,2018,GPF,5,1949,33.80027,-84.40733,Other Rated Fund,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass
Georgia Teachers,USA,North America,69,2017,GPF,5,1943,33.80027,-84.40733,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
GIC,Singapore,Asia,350,2017,SWF,3,1981,1.27977,103.849739,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Government Employees Pension,South Korea,Asia,15,2016,GPF,3,1960,33.26131,126.61884,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Pass
"Government Employees Super Board, Western Australia (GESB)",Australia,Oceania,18,2017,GPF,3,1939,-37.81653,144.95655,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Government Pension Fund,Thailand,Asia,23,2016,GPF,3,1997,13.727332,100.539099,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail
